perc_premium_paid_by_cash_credit,age_in_days,Income,Count_3-6_months_late,Count_6-12_months_late,Count_more_than_12_months_late,application_underwriting_score,no_of_premiums_paid,sourcing_channel,residence_area_type,premium,target,name,age,income,occupation,insurance,Occupation_Type,unique_id
0.101,21908,135980,0.0,0.0,0.0,97.24,14,A,Urban,9600,1,Catherine Yu,24,281391,Farmer,Starlite Basic,Blue Collar,05419701832
0.282,31763,356120,0.0,0.0,0.0,99.52,9,A,Rural,3300,1,Shawn Campbell,55,359059,Teacher,MaxBupa Silver,White Collar,07669508546
0.014,30666,330140,0.0,0.0,0.0,99.39,9,A,Urban,22200,1,Luke Scott,44,314375,Shopkeeper,Starlite Basic,Other,09423805065
0.356,24467,94840,1.0,0.0,0.0,96.38,11,A,Urban,1200,0,Betty Newman,55,151420,Lawyer,MaxBupa Silver,Other,06416509130
0.057,31768,79930,0.0,0.0,0.0,99.81,7,A,Urban,3300,1,Andre Davis,27,442331,Teacher,Starlite Basic,White Collar,10301009355
1.0,9138,49530,0.0,1.0,0.0,99.87,2,A,Urban,5400,1,Jose Griffin,27,114492,Shopkeeper,Starlite Basic,Other,09748004412
0.517,10600,99030,0.0,0.0,0.0,99.53,6,A,Urban,5400,1,Chad Fry,31,368658,Software Engineer,Starlite Basic,White Collar,05501607207
0.268,20089,240120,0.0,0.0,0.0,,11,A,Urban,1200,1,Roberto Patrick,38,303309,Teacher,MaxBupa Silver,White Collar,09151109890
0.006,34321,117710,0.0,0.0,0.0,,6,A,Urban,9600,1,Patricia Cortez,32,473798,Software Engineer,Starlite Basic,White Collar,00745800834
0.205,25920,100040,0.0,0.0,0.0,99.07,13,A,Rural,5400,1,Jerome Monroe,27,195448,Construction Worker,MaxBupa Gold,Blue Collar,08485906821
0.022,21912,456030,0.0,0.0,0.0,99.62,10,B,Rural,20100,1,Marcia Richardson,63,343307,Shopkeeper,MaxBupa Gold,Other,05105103781
0.473,30666,179050,0.0,0.0,0.0,98.24,19,A,Urban,11700,1,Jennifer White,17,1341,Student,MaxBupa Gold,White Collar,03296209012
0.01,37240,99060,0.0,0.0,0.0,99.89,5,A,Urban,3300,1,Colleen Smith,22,617242,Software Engineer,Starlite Premium,White Collar,00724807499
0.021,32499,235040,0.0,0.0,0.0,99.89,6,A,Urban,3300,1,Eric Landry,50,635151,Software Engineer,Starlite Basic,White Collar,02002503424
0.318,14973,180110,0.0,0.0,0.0,98.88,11,D,Rural,5400,1,Mr. Jeffrey Johnson,53,657671,Software Engineer,Starlite Premium,White Collar,06303000065
0.01,30666,90090,0.0,0.0,0.0,99.89,7,B,Rural,7500,1,Wesley Griffin,16,8356,Student,Starlite Basic,White Collar,02049902963
0.007,32135,197580,0.0,0.0,0.0,,7,A,Urban,22200,1,Darius Burnett,43,255923,Teacher,Starlite Basic,White Collar,02938605669
0.422,14612,160130,1.0,0.0,0.0,97.95,11,B,Urban,9600,1,Tiffany Terry,24,6738,Student,MaxBupa Silver,White Collar,04224108962
0.009,35784,28550,1.0,0.0,0.0,98.44,10,A,Urban,5700,1,Elizabeth Reed,52,265732,Teacher,MaxBupa Silver,White Collar,10080300354
0.288,10233,230680,3.0,0.0,0.0,99.01,25,D,Urban,18000,1,Christopher Williams,38,377438,Teacher,MaxBupa Silver,White Collar,02897508171
0.249,11689,162030,0.0,0.0,0.0,99.83,11,B,Rural,5400,1,Cory Taylor,46,103305,Shopkeeper,MaxBupa Gold,Other,08026604030
0.982,10232,73650,0.0,0.0,0.0,99.09,8,B,Rural,3300,1,Miranda Marsh,35,235657,Farmer,MaxBupa Gold,Blue Collar,02534408534
0.066,16801,210050,0.0,0.0,0.0,99.05,13,D,Rural,15900,1,Michelle Wilson,48,263035,Teacher,MaxBupa Gold,White Collar,06627703651
0.007,30668,135080,0.0,0.0,0.0,99.89,6,A,Urban,13800,1,Jason Fox DDS,19,145149,Nurse,MaxBupa Silver,Other,09551506739
0.065,32858,75040,0.0,0.0,0.0,99.88,4,A,Rural,3300,1,Kimberly Cruz,18,297894,Shopkeeper,MaxBupa Silver,Other,08688303297
0.415,22635,370670,0.0,0.0,0.0,99.38,7,C,Urban,22200,1,Lori Hughes,45,386818,Teacher,MaxBupa Silver,White Collar,02926704127
0.6,13145,306810,0.0,0.0,0.0,99.05,23,B,Urban,15900,1,Robert Cunningham,32,396498,Teacher,MaxBupa Gold,White Collar,05022008043
0.215,34318,122480,0.0,0.0,0.0,99.14,11,A,Urban,9600,1,Robert Jimenez,36,241332,Farmer,MaxBupa Silver,Blue Collar,11053004767
0.177,11693,257160,0.0,0.0,0.0,98.85,16,D,Urban,11700,1,Heather Barrett,34,304021,Teacher,Starlite Basic,White Collar,11325400472
0.039,20448,78080,0.0,0.0,0.0,99.43,9,A,Rural,3300,1,Larry Campbell,46,136108,Nurse,Starlite Premium,Other,03139003761
0.215,14606,179700,1.0,0.0,0.0,98.8,13,C,Urban,3300,1,Carrie Delacruz,19,189109,Driver,Starlite Basic,Blue Collar,01947408617
0.614,21543,270100,0.0,0.0,0.0,98.66,8,B,Rural,22200,1,Kathryn Rosario,57,271523,Construction Worker,MaxBupa Silver,Blue Collar,03539603566
0.047,33589,165050,0.0,0.0,0.0,99.88,7,B,Urban,11700,1,Allison Henderson,56,510454,Software Engineer,MaxBupa Gold,White Collar,00430202760
0.233,16795,207140,0.0,0.0,0.0,98.61,9,C,Urban,18000,1,Christopher Hooper,33,336200,Software Engineer,Starlite Premium,White Collar,08367300868
0.056,31764,97620,0.0,0.0,0.0,98.58,13,A,Urban,3300,1,Rita Lopez,45,364159,Nurse,MaxBupa Silver,Other,01930509382
0.049,20450,195060,0.0,0.0,0.0,99.46,7,A,Urban,13800,1,Mariah Carter,46,266309,Construction Worker,MaxBupa Gold,Blue Collar,10649608688
0.132,29580,165090,0.0,0.0,0.0,99.57,22,A,Urban,20100,1,Wesley Rogers,49,322670,Shopkeeper,Starlite Basic,Other,10433904052
0.221,20081,125060,0.0,0.0,0.0,98.65,15,A,Urban,5400,1,Christopher Garza,20,37636,Student,MaxBupa Gold,White Collar,03834406130
0.005,29209,300140,0.0,0.0,0.0,98.26,15,A,Urban,13800,1,John Phillips,41,313070,Construction Worker,Starlite Basic,Blue Collar,08571603244
0.107,10229,280130,0.0,0.0,0.0,99.67,13,A,Urban,18000,1,Sarah Stevens,20,21578,Student,Starlite Basic,White Collar,11118804842
0.247,10590,162060,0.0,0.0,0.0,98.43,17,A,Urban,5400,1,Leslie Olsen PhD,65,237074,Construction Worker,MaxBupa Silver,Blue Collar,09294309330
0.008,30665,55110,0.0,0.0,0.0,99.89,13,A,Urban,1200,1,Rickey Perez,42,667386,Software Engineer,Starlite Premium,White Collar,01919305640
0.105,29213,172970,0.0,0.0,0.0,99.57,16,B,Urban,11700,1,Kevin Tucker,53,153457,Driver,MaxBupa Silver,Blue Collar,11241405780
0.148,27382,105090,0.0,0.0,0.0,99.75,8,A,Urban,11700,1,Sara Pennington,34,236740,Lawyer,MaxBupa Gold,Other,10448108540
0.034,24460,662570,0.0,0.0,0.0,99.34,23,A,Urban,45300,1,Adam Morgan,55,458419,Software Engineer,Starlite Basic,White Collar,10773401075
0.357,18629,285110,0.0,0.0,0.0,99.46,10,C,Rural,26400,1,Julie Phillips,44,467803,Software Engineer,MaxBupa Silver,White Collar,09459702957
0.655,10590,175100,0.0,0.0,0.0,99.46,7,A,Urban,13800,1,Brian Oneal,21,287103,Farmer,Starlite Premium,Blue Collar,00829206752
0.039,21910,36080,0.0,0.0,0.0,99.72,9,A,Urban,5700,1,Michael Schneider,31,215244,Shopkeeper,MaxBupa Silver,Other,02876408657
0.851,10963,162140,1.0,0.0,0.0,99.42,5,A,Rural,11700,1,Michael Shaw,30,422679,Software Engineer,MaxBupa Silver,White Collar,05953307272
0.058,19355,315140,0.0,0.0,0.0,99.34,10,D,Urban,5400,1,Daniel Bailey,46,266475,Driver,Starlite Basic,Blue Collar,08095104759
0.461,29213,93140,0.0,0.0,0.0,98.15,7,B,Rural,9600,1,Paul Mccarthy,59,189010,Driver,MaxBupa Silver,Blue Collar,07397304862
0.012,24461,2550090,0.0,0.0,0.0,99.86,15,A,Rural,60000,1,Christopher Lopez,54,135261,Lawyer,MaxBupa Silver,Other,03231907025
0.228,31763,275020,1.0,0.0,0.0,98.83,31,D,Urban,7500,1,Christina Carter,43,108681,Nurse,Starlite Basic,Other,05441807647
0.243,10964,130090,1.0,0.0,0.0,99.27,10,A,Rural,9600,1,Rhonda Mcclure,53,274041,Lawyer,MaxBupa Silver,Other,08274607161
0.021,13875,330100,0.0,0.0,0.0,99.88,15,A,Urban,20100,1,Douglas Bell,32,103324,Farmer,MaxBupa Gold,Blue Collar,00776000073
0.168,26654,387980,0.0,0.0,0.0,98.96,10,A,Urban,32700,1,Diana Obrien,25,15230,Student,MaxBupa Gold,White Collar,07551804901
0.013,27025,59430,0.0,0.0,0.0,96.99,16,A,Rural,3300,1,Ryan Coleman,55,355505,Software Engineer,MaxBupa Silver,White Collar,05460004375
0.704,13152,183050,2.0,0.0,1.0,99.81,5,D,Urban,13800,1,Nathan Wu,41,176448,Construction Worker,Starlite Basic,Blue Collar,11118206698
0.321,30675,123070,2.0,0.0,0.0,99.48,20,A,Urban,3300,1,Dr. Brett Park,26,253544,Farmer,MaxBupa Silver,Blue Collar,11103309805
0.096,20085,207460,0.0,0.0,0.0,97.61,18,A,Rural,7500,1,Sandra Gomez,48,307558,Nurse,Starlite Basic,Other,06934901101
0.647,20081,84610,0.0,0.0,0.0,99.07,9,A,Rural,3300,1,Jason Williams,52,503844,Software Engineer,MaxBupa Silver,White Collar,11204109537
0.076,30306,100060,0.0,0.0,0.0,99.63,7,A,Rural,11700,1,Patricia Bryant,37,539126,Software Engineer,MaxBupa Silver,White Collar,05074407655
0.12,21909,177050,0.0,0.0,0.0,99.38,11,A,Urban,7500,0,Julie Mejia,25,330709,Shopkeeper,MaxBupa Silver,Other,06085105235
0.595,24461,158530,1.0,0.0,0.0,99.44,12,B,Urban,7500,0,Thomas Evans,25,257433,Nurse,MaxBupa Silver,Other,00086305165
0.055,29210,123050,0.0,0.0,0.0,99.03,8,B,Urban,7500,1,Julian Smith,39,199676,Farmer,Starlite Basic,Blue Collar,00877600118
1.0,37602,48130,0.0,0.0,0.0,,5,A,Rural,1200,1,John Smith,47,447886,Teacher,Starlite Basic,White Collar,11131902022
0.347,16802,225100,0.0,0.0,0.0,99.01,8,C,Urban,18000,1,David Hodges,38,528627,Software Engineer,Starlite Basic,White Collar,00848309885
0.215,20089,322540,1.0,0.0,0.0,99.52,13,C,Urban,20100,1,Jessica Roberts,39,226758,Driver,MaxBupa Silver,Blue Collar,06573202638
0.221,21540,204110,0.0,0.0,0.0,99.07,18,B,Rural,9600,1,Jasmine Herrera,23,24998,Student,Starlite Basic,White Collar,04247102034
0.0,13146,204030,0.0,0.0,0.0,99.7,8,C,Rural,3300,1,Mrs. Linda Carey MD,25,139759,Lawyer,Starlite Basic,Other,02233802564
0.015,30308,125320,0.0,0.0,0.0,99.88,11,A,Rural,7500,1,Taylor Shannon,56,445087,Software Engineer,MaxBupa Gold,White Collar,04961508665
1.0,31760,120070,0.0,0.0,0.0,,4,A,Rural,5400,1,Mr. Samuel Thompson DVM,63,260380,Lawyer,MaxBupa Silver,Other,10175403543
0.051,16795,123200,0.0,0.0,0.0,99.23,11,A,Rural,7500,1,Gary Shannon,28,314456,Construction Worker,MaxBupa Gold,Blue Collar,07418401219
0.0,31769,60060,0.0,0.0,0.0,99.89,4,A,Urban,5400,1,David Thompson,20,198483,Nurse,MaxBupa Silver,Other,06913209714
0.018,20081,122250,0.0,0.0,0.0,98.52,12,A,Urban,5400,1,Marc Miller,19,282474,Nurse,Starlite Premium,Other,05975306711
0.097,27383,112890,0.0,0.0,0.0,99.8,6,A,Rural,3300,1,Jeremy Kirby,56,297429,Teacher,Starlite Premium,White Collar,01943702903
0.904,10231,150140,0.0,0.0,0.0,99.7,6,B,Urban,5400,1,Mrs. Julia Garrett,22,179169,Shopkeeper,Starlite Premium,Other,02179703026
0.789,20085,135190,0.0,0.0,0.0,97.54,16,A,Rural,5400,1,Gary Thomas,40,350531,Nurse,Starlite Basic,Other,02828202510
0.178,20082,360130,1.0,0.0,0.0,98.73,19,D,Urban,26400,1,Lynn Nichols,19,338164,Driver,Starlite Premium,Blue Collar,07131904201
0.506,27387,444120,0.0,0.0,0.0,99.33,15,B,Urban,20100,1,Joseph Sullivan,44,211192,Teacher,Starlite Basic,White Collar,04791103207
0.097,31767,240110,0.0,0.0,0.0,99.67,10,A,Rural,11700,1,Christopher Gutierrez,18,8815,Student,Starlite Basic,White Collar,07625604489
0.44,10962,120040,0.0,0.0,0.0,99.61,7,A,Urban,9600,0,Mr. Joshua Fleming,59,380233,Software Engineer,Starlite Basic,White Collar,06871102755
0.0,20089,87760,0.0,0.0,0.0,99.25,10,C,Urban,5400,1,Renee Frederick,50,126581,Farmer,Starlite Basic,Blue Collar,10363808889
0.179,10225,105050,1.0,0.0,0.0,99.5,8,B,Rural,5400,1,Kelly Dorsey,39,252604,Construction Worker,MaxBupa Silver,Blue Collar,06314800177
0.0,24464,600100,0.0,0.0,0.0,98.86,14,A,Rural,18000,1,Andrea Sanders,57,203072,Nurse,Starlite Basic,Other,06143901643
0.584,23371,189070,0.0,0.0,0.0,97.67,15,A,Urban,11700,1,Sharon Martin,55,932779,Doctor,Starlite Basic,White Collar,11133309292
0.11,37239,102580,0.0,0.0,0.0,99.27,9,B,Urban,7500,1,Russell Davila,40,430918,Teacher,MaxBupa Silver,White Collar,06794203518
0.675,31761,112330,0.0,0.0,0.0,98.63,11,A,Urban,7500,1,Juan Hansen DDS,62,125341,Farmer,Starlite Premium,Blue Collar,01344801374
0.013,33960,73530,0.0,0.0,0.0,99.89,3,A,Rural,1200,1,Lori Reid,41,363889,Teacher,Starlite Basic,White Collar,08733801720
0.697,10962,273090,0.0,0.0,0.0,99.3,11,B,Rural,5400,1,Christopher Hoffman,27,260880,Driver,MaxBupa Gold,Blue Collar,01823703995
1.0,20455,120090,0.0,0.0,0.0,98.88,8,C,Urban,3300,1,Stacy Mendoza,21,37114,Student,MaxBupa Silver,White Collar,04039603688
0.012,29209,125970,0.0,0.0,0.0,99.75,10,A,Rural,13800,1,Eric Cook,30,334943,Nurse,Starlite Basic,Other,01803002264
0.008,32129,50070,0.0,0.0,0.0,99.88,12,A,Urban,5400,1,Seth Harvey,48,674780,Software Engineer,MaxBupa Silver,White Collar,08140500087
0.022,34320,42120,0.0,0.0,0.0,97.93,9,A,Urban,3300,1,Joshua Sweeney,64,356132,Nurse,Starlite Basic,Other,00698802848
0.727,29574,179290,5.0,0.0,1.0,99.27,9,A,Rural,3300,0,Robert Garrison,41,420986,Teacher,Starlite Premium,White Collar,01940908687
1.0,37602,48130,0.0,0.0,0.0,,5,A,Rural,1200,1,Ryan Banks,24,1189,Student,Starlite Basic,White Collar,11131900403
0.032,23008,337590,0.0,0.0,0.0,98.62,11,B,Rural,36900,0,Christine Gonzalez,59,354313,Software Engineer,Starlite Premium,White Collar,08208909900
0.717,10233,102130,0.0,0.0,0.0,99.47,5,A,Urban,9600,1,Michael Kennedy,44,874854,Doctor,MaxBupa Silver,White Collar,06237204077
0.483,13511,204070,0.0,0.0,0.0,99.1,9,B,Urban,13800,1,Barry Glass,34,436756,Software Engineer,Starlite Premium,White Collar,10947806835
0.591,20445,147590,0.0,0.0,0.0,99.1,11,B,Urban,13800,1,Sarah Peters,42,483986,Teacher,Starlite Basic,White Collar,05763806537
0.023,29573,90150,0.0,0.0,0.0,99.89,8,A,Urban,3300,1,Kathryn Berg,31,206778,Teacher,MaxBupa Silver,White Collar,00156002456
0.727,14615,383660,0.0,0.0,0.0,98.38,26,C,Urban,20100,1,Jason Campbell,65,754154,Doctor,MaxBupa Gold,White Collar,02048902751
0.598,26651,136090,1.0,0.0,0.0,98.57,12,A,Rural,9600,1,Laurie Davis,30,342092,Shopkeeper,MaxBupa Silver,Other,11215702214
0.003,29209,54420,0.0,0.0,0.0,99.89,11,A,Urban,1200,1,Randall Diaz,31,288108,Driver,MaxBupa Silver,Blue Collar,08019801027
0.711,23730,279150,1.0,0.0,0.0,98.79,16,B,Urban,22200,1,Michele Pacheco,57,536415,Software Engineer,Starlite Basic,White Collar,05627309703
0.009,27021,121200,0.0,0.0,0.0,99.49,20,B,Urban,9600,1,Kevin Chan,56,261882,Farmer,MaxBupa Silver,Blue Collar,06107601421
1.0,10597,140660,0.0,0.0,0.0,98.9,8,A,Urban,9600,1,Anna Coleman,63,248212,Lawyer,MaxBupa Silver,Other,06151202436
0.492,16075,200960,0.0,0.0,0.0,99.47,7,A,Rural,11700,1,Keith Bell,52,287022,Farmer,MaxBupa Silver,Blue Collar,07881404277
0.144,16797,81100,0.0,0.0,0.0,99.16,6,A,Urban,3300,1,Lisa Chang,26,371424,Teacher,Starlite Premium,White Collar,03716009609
0.024,31039,90090,0.0,0.0,0.0,99.88,7,A,Urban,5700,1,Deborah Knight,63,290145,Driver,MaxBupa Gold,Blue Collar,05647201278
0.006,23368,42150,0.0,0.0,0.0,99.28,11,A,Urban,3300,1,Olivia Johns,43,153359,Driver,Starlite Basic,Blue Collar,06247006220
0.389,20082,240100,0.0,0.0,0.0,98.85,12,A,Urban,11700,1,Chad Davis,34,332347,Software Engineer,MaxBupa Silver,White Collar,00625304907
0.794,20086,121950,1.0,0.0,0.0,98.73,11,A,Rural,3300,1,Ms. Amanda Brown,39,269032,Teacher,Starlite Premium,White Collar,01979405064
0.153,24466,125010,0.0,0.0,0.0,99.46,13,A,Urban,5400,1,Pamela Perez,25,140054,Nurse,Starlite Basic,Other,08809801978
0.052,32495,81540,0.0,0.0,0.0,99.85,10,A,Rural,3300,1,Sharon Griffin,55,253034,Shopkeeper,MaxBupa Silver,Other,10324801061
0.191,29210,159110,0.0,0.0,0.0,99.73,10,B,Urban,11700,1,Samantha Bowman,25,496435,Teacher,Starlite Basic,White Collar,03613905014
0.033,32132,171060,0.0,0.0,0.0,99.2,18,A,Urban,9600,1,John Rodriguez,42,214618,Driver,Starlite Basic,Blue Collar,09115104535
0.054,27016,216920,0.0,0.0,0.0,99.89,7,A,Rural,1200,1,Jennifer Hurley,25,20113,Student,Starlite Basic,White Collar,00466506993
0.266,21179,270150,1.0,0.0,0.0,98.93,12,B,Urban,3300,1,Taylor Long,57,248046,Construction Worker,Starlite Basic,Blue Collar,11097609253
0.247,26286,122630,0.0,0.0,0.0,99.56,5,C,Urban,13800,1,Jason Boyd,24,497544,Software Engineer,Starlite Premium,White Collar,10765201502
0.009,24463,154170,1.0,0.0,0.0,,6,A,Rural,9600,1,Brandon Lewis,46,410347,Teacher,Starlite Basic,White Collar,09667308568
0.009,26286,83640,0.0,0.0,0.0,99.87,7,A,Urban,5400,1,David Ramirez,51,107451,Farmer,Starlite Basic,Blue Collar,03164409314
0.004,16805,76900,0.0,0.0,0.0,,7,A,Rural,9600,1,Benjamin Phillips,55,969527,Doctor,MaxBupa Silver,White Collar,10070408836
0.03,30669,34600,0.0,0.0,0.0,99.86,4,A,Urban,3300,1,Claudia Benson,22,346880,Construction Worker,Starlite Basic,Blue Collar,03421308920
0.002,31766,55960,0.0,0.0,0.0,99.88,12,B,Urban,3300,1,Rebecca Hess,60,441149,Software Engineer,Starlite Basic,White Collar,01961404918
1.0,21908,204130,4.0,0.0,0.0,98.71,6,A,Urban,15900,1,Nathaniel Hooper,35,809639,Doctor,MaxBupa Silver,White Collar,04444700678
0.012,31767,169630,1.0,0.0,0.0,99.89,5,A,Urban,18000,1,Lisa Marquez,24,357409,Shopkeeper,Starlite Basic,Other,05131205076
0.012,31405,200060,0.0,0.0,0.0,99.89,8,A,Urban,13800,1,Edward Reynolds,30,294646,Construction Worker,Starlite Basic,Blue Collar,06427308064
0.031,24469,132110,0.0,0.0,0.0,99.89,4,A,Rural,9600,1,Steve Carpenter,51,163364,Nurse,MaxBupa Silver,Other,04182607568
0.96,27019,144050,3.0,0.0,0.0,99.46,10,A,Urban,7500,1,Christopher Wright,25,19481,Student,Starlite Premium,White Collar,04321200102
0.501,12788,214020,0.0,0.0,0.0,99.2,10,D,Urban,5400,1,Karen Dean,30,398085,Teacher,Starlite Basic,White Collar,02535200957
0.139,13877,136840,0.0,0.0,0.0,97.97,18,C,Urban,11700,1,Marissa Roberts,49,478149,Teacher,Starlite Basic,White Collar,07392508556
0.002,18630,300120,0.0,0.0,0.0,99.51,12,C,Urban,11700,1,Danielle Khan,51,223710,Farmer,MaxBupa Gold,Blue Collar,02201303785
1.0,37602,48130,0.0,0.0,0.0,,5,A,Rural,1200,1,Pamela Sutton,56,404324,Teacher,MaxBupa Silver,White Collar,11131909630
0.087,21909,645030,0.0,0.0,0.0,99.52,17,C,Urban,28500,1,Todd Weaver,22,11845,Student,MaxBupa Gold,White Collar,06176407173
0.049,18620,273880,1.0,0.0,0.0,99.03,14,A,Urban,13800,1,Jonathan Matthews,36,445429,Software Engineer,Starlite Basic,White Collar,02282804043
0.0,32127,109540,0.0,0.0,0.0,,4,A,Rural,7500,1,Gabriel Luna,46,188133,Nurse,MaxBupa Gold,Other,08130302648
0.041,13154,90100,0.0,0.0,0.0,97.65,9,A,Urban,5400,1,Cynthia Wyatt,25,255598,Farmer,MaxBupa Silver,Blue Collar,05510906000
0.779,18630,217460,2.0,1.0,1.0,99.47,9,D,Urban,3300,0,Kristin Suarez,42,239436,Farmer,MaxBupa Silver,Blue Collar,08372707927
1.0,19352,154530,0.0,0.0,0.0,97.76,8,A,Rural,11700,1,Kim Williams,24,371651,Software Engineer,Starlite Basic,White Collar,08333702826
0.021,24467,97620,0.0,0.0,0.0,98.48,16,C,Urban,5400,1,Gary Wolfe,51,636040,Software Engineer,Starlite Basic,White Collar,08956804094
0.382,18626,174060,0.0,0.0,0.0,99.16,7,A,Urban,3300,1,Matthew Little,21,42865,Student,MaxBupa Silver,White Collar,09333307774
0.039,32128,125020,0.0,0.0,0.0,99.88,4,A,Urban,7500,1,Riley Hill,58,169424,Construction Worker,Starlite Basic,Blue Collar,02268309258
0.0,29570,205070,0.0,0.0,0.0,,3,A,Urban,9600,1,Alejandra Jones,40,952000,Doctor,Starlite Basic,White Collar,10319708113
0.968,14608,88800,0.0,0.0,0.0,97.27,13,A,Urban,5400,1,John Weeks,34,530973,Software Engineer,MaxBupa Silver,White Collar,07374504772
0.984,10233,69120,0.0,0.0,0.0,99.08,5,B,Rural,3300,1,Christy Sims,52,207484,Teacher,MaxBupa Gold,White Collar,01711001947
0.027,26657,219090,0.0,0.0,0.0,99.44,17,A,Urban,11700,1,Scott Thomas,50,286445,Teacher,MaxBupa Silver,White Collar,06735606109
0.051,32862,210420,0.0,0.0,0.0,99.87,9,A,Urban,7500,1,Anna Young,59,384715,Lawyer,MaxBupa Silver,Other,07055602299
0.131,32865,121050,0.0,0.0,0.0,99.11,22,A,Urban,5400,1,Amy Fisher,61,218718,Construction Worker,MaxBupa Silver,Blue Collar,00713607844
0.157,32128,220370,0.0,0.0,0.0,99.88,11,A,Urban,1200,1,Tanya Simmons,24,6502,Student,MaxBupa Silver,White Collar,09721604382
0.58,10234,36400,0.0,0.0,0.0,99.34,4,A,Urban,1200,1,Jeff Reed,61,629999,Doctor,MaxBupa Silver,White Collar,02958105425
0.03,31401,175090,0.0,0.0,0.0,99.88,7,B,Rural,9600,1,Christine Cook,50,237282,Farmer,MaxBupa Gold,Blue Collar,00862306771
0.987,16795,120140,0.0,1.0,0.0,97.8,11,B,Urban,5400,0,Michael Nelson,19,8458,Student,Starlite Basic,White Collar,03189508578
0.16,27390,114930,0.0,0.0,0.0,98.14,14,A,Rural,11700,1,Crystal Terry,32,341415,Shopkeeper,MaxBupa Silver,Other,00278304291
1.0,10592,55690,,,,,2,A,Urban,3300,1,Charles Tran,48,399200,Teacher,Starlite Basic,White Collar,08046300528
0.016,24470,312570,0.0,0.0,0.0,99.69,7,B,Rural,15900,1,Kaitlyn Ferguson,64,294261,Construction Worker,Starlite Premium,Blue Collar,06754201233
0.658,21912,300060,0.0,0.0,0.0,99.19,10,A,Urban,20100,1,Carrie Sanchez,49,239234,Nurse,MaxBupa Silver,Other,01996700779
0.018,29943,66060,0.0,0.0,0.0,99.84,11,B,Urban,5700,1,Colton Fry,24,269808,Driver,MaxBupa Gold,Blue Collar,10308605859
0.01,37240,99060,0.0,0.0,0.0,99.89,5,A,Urban,3300,1,Brandon Wagner,28,490011,Software Engineer,Starlite Basic,White Collar,00724803059
0.0,27748,201840,0.0,0.0,0.0,,3,A,Rural,18000,1,Lisa Hale,37,349902,Shopkeeper,Starlite Basic,Other,08846408587
0.709,16797,148630,0.0,0.0,0.0,98.03,7,C,Urban,7500,1,Michael Miller,59,223995,Teacher,Starlite Premium,White Collar,06404901860
0.01,37240,99060,0.0,0.0,0.0,99.89,5,A,Urban,3300,1,Sean Barnett,19,140673,Farmer,MaxBupa Silver,Blue Collar,00724808438
1.0,14609,150060,2.0,1.0,1.0,98.84,9,A,Urban,9600,0,Martin Gilmore,51,229448,Farmer,MaxBupa Silver,Blue Collar,04002707403
0.016,31760,60030,0.0,0.0,0.0,98.92,12,A,Urban,5400,1,Tommy Jennings,49,222894,Farmer,Starlite Basic,Blue Collar,00423304639
0.012,32497,144290,0.0,0.0,0.0,99.27,7,A,Urban,11700,1,Mark Sweeney,25,249062,Driver,Starlite Basic,Blue Collar,03031504250
0.009,31030,210080,0.0,0.0,0.0,,9,A,Rural,5400,1,Michael Morgan,35,270104,Shopkeeper,MaxBupa Gold,Other,06427401992
0.011,20089,270140,0.0,0.0,0.0,99.37,12,B,Urban,18000,1,Timothy Robinson,65,232621,Driver,Starlite Basic,Blue Collar,05661207379
0.066,20083,96300,2.0,0.0,0.0,97.99,12,A,Rural,5700,1,Shawn Miller,56,683308,Software Engineer,Starlite Basic,White Collar,06918607305
0.555,10594,60040,0.0,0.0,0.0,99.56,5,A,Urban,3300,1,Tiffany Ward,53,267529,Nurse,Starlite Premium,Other,00818105303
0.218,24460,142000,0.0,0.0,0.0,99.05,10,A,Rural,5400,1,Brandi Butler,48,210513,Driver,Starlite Basic,Blue Collar,06687408192
0.523,10226,90140,7.0,1.0,0.0,99.36,16,C,Urban,5400,1,Robert Martinez,46,305888,Shopkeeper,Starlite Basic,Other,07486807447
0.022,23373,175150,0.0,0.0,0.0,99.18,9,B,Urban,11700,1,Tiffany Garcia,35,387142,Teacher,MaxBupa Gold,White Collar,01788002471
0.502,12787,145110,1.0,0.0,0.0,99.04,15,D,Rural,7500,1,Christopher Love,45,525416,Software Engineer,Starlite Premium,White Collar,07853607197
0.043,24470,65780,0.0,0.0,0.0,99.4,4,A,Rural,5400,1,Nicholas Heath,63,234713,Farmer,Starlite Basic,Blue Collar,06023905312
0.852,14605,113790,0.0,0.0,0.0,99.79,4,A,Urban,9600,1,Mark Oneill,41,260547,Farmer,Starlite Premium,Blue Collar,10488909035
0.838,16799,166390,2.0,0.0,0.0,98.8,17,C,Urban,13800,1,Mariah Rogers,55,164954,Nurse,MaxBupa Silver,Other,00701401396
0.072,14611,117140,0.0,0.0,0.0,99.35,11,B,Urban,7500,1,William Daniels,25,534313,Software Engineer,Starlite Premium,White Collar,02608804002
0.005,24466,332230,1.0,0.0,0.0,99.78,9,A,Urban,15900,1,Loretta Ford,33,452832,Software Engineer,MaxBupa Gold,White Collar,01724105371
0.046,14971,421600,0.0,0.0,0.0,98.93,11,A,Urban,36900,1,John Davis,57,349215,Teacher,MaxBupa Silver,White Collar,08621503235
0.008,34325,180130,0.0,0.0,0.0,,5,B,Urban,11700,1,Jessica Brown,62,862123,Doctor,Starlite Basic,White Collar,04697501042
